FID;Loading_Month;BPC_No;Configurat;Enabled;Grounded;PoleMateri;OperatingV;PoleStruct;PoleSuppor;PoleType;SUBTYPE;ServicesO;SizeForCon;VoltageFor;WoNumber;WireSuppor;PoleHeight;WirestayNo;DualStatus;ServicesU;Services3p;ServicesU1;ID
36;May;None;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;0;50 sqmm;1;461432;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
37;May;None;ABC;TRUE;NO;Wood;400;T/OFF;None;LV;Pole;0;50 sqmm;1;461432;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
38;May;None;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;1;50 sqmm;1;461432;Out Rigger Stay;9;1 Wire stay;7;2; ; ;0
39;May;None;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;461432;No Stay;9;1 Wire stay;7;1; ; ;0
40;May;None;ABC;TRUE;YES;Wood;400;T/OFF;None;LV;Pole;1;50 sqmm;1;469408;No Stay;9;No Wire stay;7;None; ; ;0
41;May;None;ABC;TRUE;NO;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;469408;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
42;May;None;ABC;TRUE;YES;Wood;400;TERMINAL;None;LV;Pole;0;50 sqmm;1;475412;Out Rigger Stay;9;No Wire stay;7;1; ; ;0
43;May;None;ABC;TRUE;NO;Wood;400;T/OFF;None;LV;Pole;0;50 sqmm;1;475412;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
44;May;None;ABC;TRUE;YES;Wood;400;INTER/ANGLE;None;LV;Pole;0;50 sqmm;1;475412;Out Rigger Stay;9;No Wire stay;7;None; ; ;0
45;May;None;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;476755;No Stay;9;No Wire stay;7;None; ; ;0
46;May;None;ABC;TRUE;NO;Wood;400;INTER/ANGLE;Strut Pole;LV;Pole;0;50 sqmm;1;476755;No Stay;9;No Wire stay;7;2; ; ;0
47;May;None;ABC;TRUE;YES;Wood;400;4WAY;None;LV;Pole;0;50 sqmm;1;480436;No Stay;9;No Wire stay;7;None; ; ;0
