FID;Loading_Month;Loaded_By;SwichType;OperatingV;BPC_No
0;May;Christopher Masukume;DOL - Drop out Link;11 kV;N/A
1;May;Christopher Masukume;DOL - Drop out Link;11 kV;DOL 43
